,1997,1998,1999,2000,2001,2002,2003,2004
,,,,,,,,
        All industries,9916.5,10586.3,11189.5,11736.5,11575.5,11494.7,11675.9,12093.1
Private industries,9093.2,9726.0,10279.8,10808.0,10580.1,10430.7,10591.6,10981.2
"    Agriculture, forestry, fishing, and hunting",280.0,295.2,306.1,273.9,280.8,275.2,274.2,272.1
        Farms,254.1,262.6,268.4,249.1,255.0,247.8,246.8,241.1
"        Forestry, fishing, and related activities",25.1,30.2,34.2,24.3,25.1,26.2,26.2,28.9
    Mining,162.3,153.2,143.8,181.4,175.4,143.5,175.3,183.4
        Oil and gas extraction,88.7,83.5,88.4,123.5,113.2,81.7,109.2,101.4
"        Mining, except oil and gas",56.6,50.6,44.8,47.0,47.6,47.1,46.7,51.7
        Support activities for mining,14.3,16.0,10.2,11.0,14.4,14.3,18.2,29.4
    Utilities,166.3,206.0,255.3,308.3,415.5,240.9,219.8,192.3
    Construction,554.1,601.1,625.1,651.5,673.2,678.5,713.4,746.1
    Manufacturing,4016.5,4215.4,4315.6,4337.0,4125.3,4052.4,3922.0,3947.1
        Durable goods,1743.9,1875.0,1975.2,1996.5,1890.4,1796.0,1748.3,1771.2
            Wood products,74.4,79.9,84.0,82.6,76.8,79.7,79.5,83.4
            Nonmetallic mineral products,71.4,78.9,80.4,81.5,77.3,78.0,77.3,76.8
            Primary metals,228.3,233.8,225.0,208.9,189.2,192.1,185.3,203.4
            Fabricated metal products,206.0,222.7,223.4,225.7,218.1,215.6,202.6,194.8
            Machinery,236.9,233.5,234.3,253.2,223.5,206.6,209.9,209.3
            Computer and electronic products,196.4,218.2,254.6,285.1,267.4,206.3,189.9,193.0
"            Electrical equipment, appliances, and components",96.7,115.1,113.1,120.1,101.7,88.2,79.2,84.6
"            Motor vehicles, bodies and trailers, and parts",398.0,408.2,466.4,432.4,420.5,431.0,432.0,444.4
            Other transportation equipment,119.2,151.4,138.6,117.1,134.9,132.0,126.0,122.4
            Furniture and related products,47.6,52.6,52.8,56.4,56.0,59.3,58.8,58.1
            Miscellaneous manufacturing,85.5,90.2,83.7,98.6,87.3,93.8,96.8,92.2
        Nondurable goods,2306.7,2349.6,2316.7,2310.9,2210.3,2257.8,2171.3,2169.7
            Food and beverage and tobacco products,637.9,659.9,632.7,648.5,638.4,642.8,644.9,640.1
            Textile mills and textile product mills,82.5,81.4,81.0,77.0,70.0,70.3,71.5,66.3
            Apparel and leather and allied products,81.3,73.2,71.3,69.5,50.9,42.6,37.5,30.7
            Paper products,142.0,148.6,146.9,145.5,145.2,144.3,139.1,134.8
            Printing and related support activities,85.0,86.6,87.5,87.2,83.6,79.1,71.9,70.4
            Petroleum and coal products,580.0,542.3,579.8,579.0,545.5,602.1,500.1,532.7
            Chemical products,486.2,508.2,494.8,484.7,468.2,491.8,487.6,498.9
            Plastics and rubber products,172.3,180.8,185.7,182.9,173.4,180.2,175.1,170.7
    Wholesale trade,284.8,271.7,311.5,323.1,306.2,344.1,348.6,378.2
    Retail trade,362.2,343.6,383.7,390.3,345.1,378.5,401.7,455.7
        Motor vehicle and parts dealers,70.1,63.4,74.9,68.0,51.9,72.7,71.1,73.1
        Food and beverage stores,52.2,47.5,54.1,51.7,54.9,53.3,53.5,60.2
        General merchandise stores,50.4,50.2,56.1,53.0,49.3,45.7,57.0,67.7
        Other retail,188.8,182.1,198.0,217.0,189.2,206.0,219.6,254.3
    Transportation and warehousing,400.0,418.6,439.8,444.3,429.1,437.6,445.2,470.1
        Air transportation,122.2,130.1,129.9,139.0,128.9,111.0,118.5,117.2
        Rail transportation,31.2,28.3,27.5,25.3,26.1,29.4,27.1,29.1
        Water transportation,33.2,32.8,32.9,31.2,29.7,30.2,33.3,38.5
        Truck transportation,133.7,142.1,146.2,148.9,149.3,154.6,152.3,165.6
        Transit and ground passenger transportation,14.1,16.5,13.3,10.8,11.0,11.2,9.0,13.3
        Pipeline transportation,26.3,21.7,20.3,19.5,8.9,16.1,15.4,15.0
        Other transportation and support activities,44.7,55.5,72.3,73.2,73.1,74.7,76.2,78.3
        Warehousing and storage,6.8,4.9,8.1,8.8,12.6,15.6,19.3,18.4
    Information,382.0,423.1,481.8,596.6,593.5,550.8,533.8,504.8
"        Publishing industries, except internet (includes software)",112.6,126.3,118.0,166.1,166.8,147.2,132.6,133.5
        Motion picture and sound recording industries,62.0,59.5,53.8,71.9,65.3,58.5,69.6,60.3
        Broadcasting and telecommunications,191.2,221.2,268.9,307.1,322.7,321.7,309.2,293.7
"        Data processing, internet publishing, and other information services",19.3,18.1,41.3,54.3,40.0,23.1,22.2,17.2
"    Finance, insurance, real estate, rental, and leasing",1056.6,1185.0,1304.3,1473.1,1354.3,1385.8,1507.3,1697.3
        Finance and insurance,544.6,601.9,708.1,813.8,717.0,716.3,769.4,838.9
"            Federal Reserve banks, credit intermediation, and related activities",219.1,219.8,232.0,265.9,268.1,250.7,261.1,300.3
"            Securities, commodity contracts, and investments",96.9,143.1,206.1,270.7,152.1,150.2,189.3,210.7
            Insurance carriers and related activities,172.2,173.3,192.2,176.2,208.8,240.0,250.6,253.3
"            Funds, trusts, and other financial vehicles",67.1,72.4,81.2,106.1,93.2,76.3,67.6,75.5
        Real estate and rental and leasing,513.1,585.0,594.7,656.7,636.0,668.5,737.1,858.1
            Real estate,453.5,507.4,512.8,560.9,558.7,599.6,645.9,751.9
                Housing,124.1,138.7,142.3,143.9,146.6,149.5,156.7,155.7
                Other real estate,329.1,368.3,370.2,416.2,411.5,449.2,488.2,594.6
            Rental and leasing services and lessors of intangible assets,59.8,77.7,82.0,95.8,77.4,69.2,91.4,106.4
    Professional and business services,664.5,775.0,838.3,872.1,830.7,802.7,827.4,875.6
"        Professional, scientific, and technical services",390.5,444.7,481.8,518.0,505.2,490.1,507.4,521.5
            Legal services,65.0,70.1,73.7,69.8,70.6,73.1,84.4,79.4
            Computer systems design and related services,60.5,80.2,102.1,115.6,103.3,105.5,94.9,88.5
"            Miscellaneous professional, scientific, and technical services",265.1,294.1,305.0,331.7,330.9,310.7,327.3,353.3
        Management of companies and enterprises,86.5,101.4,110.4,104.5,99.5,100.0,107.5,130.7
        Administrative and waste management services,189.7,232.2,249.5,253.2,228.6,214.6,213.9,224.2
            Administrative and support services,159.0,195.7,210.9,215.4,193.7,182.6,180.4,185.7
            Waste management and remediation services,30.6,36.3,38.2,37.4,34.5,31.5,33.3,38.5
"    Educational services, health care, and social assistance",478.9,520.8,525.5,542.8,592.8,640.6,662.9,664.2
        Educational services,45.8,53.3,53.4,57.2,65.0,72.6,70.7,64.6
        Health care and social assistance,433.7,467.7,472.5,485.7,527.9,567.9,592.2,599.9
            Ambulatory health care services,193.9,208.8,210.9,214.4,234.4,249.6,268.6,277.5
            Hospitals,160.2,173.7,174.1,177.2,187.3,208.1,210.1,208.4
            Nursing and residential care facilities,50.8,55.3,54.2,55.6,58.8,59.6,63.1,64.0
            Social assistance,29.1,30.4,33.4,38.6,47.0,50.6,50.1,49.6
"    Arts, entertainment, recreation, accommodation, and food services",348.5,360.7,360.0,375.0,387.7,395.1,408.8,417.0
"        Arts, entertainment, and recreation",66.7,70.6,70.9,68.9,81.0,80.4,85.8,88.3
"            Performing arts, spectator sports, museums, and related activities",32.2,34.1,34.0,35.2,40.2,43.1,44.0,43.2
"            Amusements, gambling, and recreation industries",34.5,36.5,36.8,33.7,40.9,37.3,41.9,45.2
        Accommodation and food services,282.0,290.3,289.3,306.4,306.8,315.0,323.2,328.9
            Accommodation,63.4,65.7,66.9,74.8,70.6,70.8,71.7,73.3
            Food services and drinking places,218.6,224.6,222.4,231.6,236.2,244.1,251.4,255.5
"    Other services, except government",154.6,171.2,178.9,182.2,218.3,212.1,221.7,221.9
Government,820.8,856.1,905.2,922.2,992.8,1064.2,1084.5,1111.9
    Federal,221.3,213.3,224.9,226.5,255.1,288.2,324.8,347.1
        General government,192.0,185.9,195.3,198.0,223.2,257.9,295.8,320.9
            National defense,136.1,132.1,145.1,143.3,157.5,179.3,210.6,229.5
            Nondefense,55.9,53.8,50.2,54.7,65.7,78.5,85.2,91.4
        Government enterprises,29.6,27.6,29.9,28.7,32.1,30.5,29.1,26.3
    State and local,604.1,649.8,687.9,703.7,745.2,782.1,762.4,766.3
        General government,499.1,538.6,577.5,600.4,642.7,667.8,646.8,647.5
        Government enterprises,108.6,115.0,114.1,107.1,106.6,118.5,119.6,122.6
Not allocated by industry1,-261.4,-192.6,-149.8,-72.4,-69.9,-103.0,-16.0,-6.3
    Addenda:,,,,,,,,
Private goods-producing industries2,4992.8,5249.0,5377.4,5434.7,5248.3,5147.4,5087.2,5154.4
Private services-producing industries3,4284.7,4658.0,5060.1,5496.2,5437.9,5382.1,5575.0,5876.9
Information-communications-technology-producing industries 4,464.3,536.5,653.3,760.3,740.1,664.6,622.4,598.5
